<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20220102,220000,1.1373,1.1373,1.1372,1.1372,4
EURUSD,20220102,220100,1.1373,1.1374,1.1373,1.1373,4
EURUSD,20220102,220200,1.1374,1.1376,1.1374,1.1375,4
EURUSD,20220102,220300,1.1375,1.1377,1.1375,1.1376,4
EURUSD,20220102,220400,1.1375,1.1376,1.1375,1.1376,4
EURUSD,20220102,220500,1.1376,1.1377,1.1376,1.1377,4
EURUSD,20220102,220600,1.1376,1.1376,1.1373,1.1373,4
EURUSD,20220102,220700,1.1373,1.1375,1.1373,1.1375,4
